,Name,Key
0,Community 1,C0036572
1,Community 2,6135
2,Community 3,4914
3,Community 4,112399
4,Community 5,64963
5,Community 6,10980
6,Community 7,200728
7,Community 8,9343
8,Community 9,25776
9,Community 10,10992
10,Community 11,7157
11,Community 12,715712
12,Community 13,11335
13,Community 14,8517
14,Community 15,4627
15,Community 16,86
16,Community 17,5987
17,Community 18,3320
18,Community 19,C0011581
19,Community 20,3178
20,Community 21,5501
21,Community 22,351
22,Community 23,6117
