nodes,AMLinfost_diff
GO:0045944,0.0022563167715735997
GO:0045893,0.001709233676793757
GO:0045892,0.001093254749521711
GO:0000122,0.0013143412211001127
4609,0.0003780692465229101
864,3.042511368487084e-05
6774,0.0002363830847974196
3417,1.057682917771911e-05
302,0.00010494931849236708
2623,6.554140701309727e-05
4869,0.000201654859997341
6688,2.6711189534928787e-05
11168,2.065763235267303e-05
2624,5.24514253598527e-05
3845,0.00021838603411558256
64324,3.3603909436049176e-05
2672,2.1208681239485078e-05
3315,0.0001683402378622107
10919,2.7176060717771125e-05
861,4.9950017979851706e-05
