nodes,AMLinglut_diff
GO:0045944,0.0013415799994742324
GO:0045893,0.0008835811111062591
GO:0045892,0.0008100468084289839
GO:0000122,0.0007931713743058007
4609,0.0005547140720129415
864,6.935799774164694e-06
6774,6.292914625251858e-05
3417,0.00019556323755148217
302,6.845317456549469e-05
2623,3.8979504440154e-05
4869,0.00011350957885418282
6688,1.788129185009283e-05
11168,1.4712706422620372e-05
2624,3.40020029582785e-05
3845,0.00022727030769708817
64324,1.093740041846121e-05
2672,1.5787848626374288e-05
3315,0.00011923506963408712
10919,2.0375359451307895e-05
861,3.519548508599605e-05
