nodes,AMLinzinc_diff
GO:0045944,0.0018998574695117654
GO:0045893,0.0011789168711093718
GO:0045892,0.0010840064026447762
GO:0000122,0.0012372544138606544
4609,0.00036921615046527507
864,1.0309808951082531e-05
6774,8.953353378743004e-05
3417,9.870269514611507e-06
302,0.00012955563643555901
2623,4.7808540775819876e-05
4869,0.00014941013084188243
6688,2.4065159525448668e-05
11168,1.9303395546239105e-05
2624,3.898498905501176e-05
3845,0.00013622910057542887
64324,1.446357451658861e-05
2672,1.501015873795998e-05
3315,0.00010276491073523046
10919,2.688980273274459e-05
861,7.485067174917331e-05
