nodes,fostinAML_diff
GO:0006468,0.0011791212551067866
GO:0046777,0.0003734382974977214
GO:0035556,0.00047477960704403227
GO:0045944,0.004865526273344611
GO:0018108,0.00027678724542484003
GO:0045893,0.002784592715888326
GO:0016310,0.0001627353281127222
3320,0.00023857179918917754
GO:0043066,0.001380260295941578
GO:0018105,0.0002526841831159246
GO:0006464,0.0003208151058528472
GO:0000122,0.00249337039314565
1956,0.0003386885731677402
GO:0043484,0.00018836184429393046
4750,1.644957571399147e-05
GO:0045892,0.0027495746074245697
GO:0010628,0.0009407384653967195
120892,0.0002478769177093039
4914,0.000425667334745932
351,0.0007862927178194767
