nodes,fostinAML_diff,nodes,fostinAML_diff
GO:0006468,0.001179121,GO:0045944,0.004865526
GO:0046777,0.000373438,GO:0045893,0.002784593
GO:0035556,0.00047478,GO:0045892,0.002749575
GO:0045944,0.004865526,GO:0000122,0.00249337
GO:0018108,0.000276787,4609,0.001920261
GO:0045893,0.002784593,864,0.00185104
GO:0016310,0.000162735,6774,0.001793948
3320,0.000238572,3417,0.001751258
GO:0043066,0.00138026,302,0.001747837
GO:0018105,0.000252684,2623,0.001735005
GO:0006464,0.000320815,4869,0.001703043
GO:0000122,0.00249337,6688,0.001684516
1956,0.000338689,11168,0.00167674
GO:0043484,0.000188362,2624,0.001676614
4750,1.64E-05,3845,0.001665679
GO:0045892,0.002749575,64324,0.001650854
GO:0010628,0.000940738,2672,0.001636429
120892,0.000247877,3315,0.001636299
4914,0.000425667,10919,0.001635515
351,0.000786293,861,0.001623229
