nodes,zincinAML_diff,nodes,zincinAML_diff
1369,9.25E-07,GO:0045944,0.004865526
2335,0.000192102,GO:0045893,0.002784593
335,9.25E-05,GO:0045892,0.002749575
718,4.76E-05,GO:0000122,0.00249337
3507,1.21E-05,4609,0.001920261
351,0.000786293,864,0.00185104
1191,0.000128332,6774,0.001793948
727,1.03E-05,3417,0.001751258
7157,0.000468503,302,0.001747837
731,3.36E-06,2623,0.001735005
GO:0006956,2.79E-05,4869,0.001703043
2,5.30E-05,6688,0.001684516
333,2.33E-05,11168,0.00167674
348,0.000176246,2624,0.001676614
3827,2.95E-05,3845,0.001665679
GO:0018149,3.98E-05,64324,0.001650854
733,1.41E-05,2672,0.001636429
732,1.69E-06,3315,0.001636299
GO:0045944,0.004865526,10919,0.001635515
388697,1.61E-05,861,0.001623229
