nodes,lasofoxifene
2099,0.06634518053309783
2100,0.06571090573854758
1269,0.06541376690336663
2769,0.026481870261057583
GO:0007204,0.014649053370561277
GO:0000122,0.01079336253829805
GO:0045893,0.010543379775243654
GO:0051091,0.00991180430421537
GO:0045944,0.004230884202606985
GO:0006366,0.003069155377392505
GO:0051480,0.00264260078927444
GO:0071392,0.0021279485154668564
GO:0010524,0.0019244882703730024
GO:0010629,0.0018507323207995023
GO:0060402,0.0018436423105859722
GO:0043433,0.0018307244152939856
GO:0051482,0.0017843558690093068
GO:0045899,0.0017608568013586438
GO:0045892,0.0017555296286081389
GO:1903799,0.001745155882227652
