nodes,zinc
1369,0.0031926889712341013
2335,0.002751227460039142
335,0.002684294916968294
718,0.002583609721342239
3507,0.0025776166865919413
351,0.0024105999661742992
1191,0.002234738059829821
727,0.0022128501062259986
7157,0.0021324263599457505
731,0.0020869813563354654
GO:0006956,0.0020452807347594525
2,0.0020387345417986406
333,0.0020329826890634105
348,0.001990312034116098
3827,0.001978353330582125
GO:0018149,0.00195949068828023
733,0.0019363898559326474
732,0.0019291704369573187
GO:0045944,0.0018998574695117654
388697,0.001898723823765719
