nodes,zincinAML_diff
1369,9.252261442106362e-07
2335,0.00019210208708774767
335,9.252683200599443e-05
718,4.7589007790451215e-05
3507,1.2144520055191993e-05
351,0.0007862927178194767
1191,0.000128331635331235
727,1.0341582055112509e-05
7157,0.00046850332265231377
731,3.3572013628116984e-06
GO:0006956,2.7860136931490385e-05
2,5.2999215813755184e-05
333,2.333072771267107e-05
348,0.0001762458265221395
3827,2.9451228996982624e-05
GO:0018149,3.976701711859472e-05
733,1.4109482324601618e-05
732,1.6886571152533268e-06
GO:0045944,0.004865526273344611
388697,1.6131413361710053e-05
